filename,topic,outlet,article,likes,shares,comments,nv1,proximity,clickbait,direction,personalization,filename_surveycompany
"centralize_nettavisen_2_6,7k liker_987 delinger_4 kommentarer_cropped.png",centralize,nettavisen,2,"6,7k",987,4,positive,Norway,True,decentralize,True,04924.png
centralize_resett_2_23 liker_7 delinger_4 kommentarer_cropped.png,centralize,resett,2,23,7,4,positive,Norway,True,decentralize,True,05088.png
"centralize_nrk_2_6,7k liker_987 delinger_432 kommentarer_cropped.png",centralize,nrk,2,"6,7k",987,432,positive,Norway,True,decentralize,True,05089.png
centralize_resett_2_23 liker_7 delinger_432 kommentarer_cropped.png,centralize,resett,2,23,7,432,positive,Norway,True,decentralize,True,05113.png
"centralize_nrk_2_6,7k liker_7 delinger_432 kommentarer_cropped.png",centralize,nrk,2,"6,7k",7,432,positive,Norway,True,decentralize,True,05160.png
"centralize_resett_2_6,7k liker_987 delinger_432 kommentarer_cropped.png",centralize,resett,2,"6,7k",987,432,positive,Norway,True,decentralize,True,05184.png
"centralize_nettavisen_2_6,7k liker_7 delinger_432 kommentarer_cropped.png",centralize,nettavisen,2,"6,7k",7,432,positive,Norway,True,decentralize,True,05187.png
"centralize_dagbladet_2_6,7k liker_987 delinger_432 kommentarer_cropped.png",centralize,dagbladet,2,"6,7k",987,432,positive,Norway,True,decentralize,True,05261.png
"centralize_nrk_2_6,7k liker_7 delinger_4 kommentarer_cropped.png",centralize,nrk,2,"6,7k",7,4,positive,Norway,True,decentralize,True,05276.png
"centralize_nrk_2_6,7k liker_987 delinger_4 kommentarer_cropped.png",centralize,nrk,2,"6,7k",987,4,positive,Norway,True,decentralize,True,05311.png
"centralize_nettavisen_2_6,7k liker_987 delinger_432 kommentarer_cropped.png",centralize,nettavisen,2,"6,7k",987,432,positive,Norway,True,decentralize,True,05339.png
"centralize_dagbladet_2_6,7k liker_987 delinger_4 kommentarer_cropped.png",centralize,dagbladet,2,"6,7k",987,4,positive,Norway,True,decentralize,True,05360.png
"centralize_resett_2_6,7k liker_7 delinger_432 kommentarer_cropped.png",centralize,resett,2,"6,7k",7,432,positive,Norway,True,decentralize,True,05361.png
